Pianta,Sintomo_Visibile,Umidita,Temperatura,Ore_Luce,Diagnosi_Lab
Zucchina,Nessuna,0.4993007120617274,22.8056921795992,6.500533791188047,Sano
Lattuga,Muffa_Bianca,0.6476695667236667,30.060744018152324,6.6147431502614,Botrite
Fragola,Muffa_Bianca,0.6082119902836081,15.808088686306954,9.795235233496104,Botrite
Menta,Nessuna,0.5743395035009538,24.49348870698806,6.891167198722211,Sano
Fragola,Nessuna,0.5421317905691255,24.11469477335413,9.751221274728907,Sano
Peperone,Macchie_Fogliari,0.7077748150496908,23.724757835995227,6.455597210244681,Ruggine
Basilico,Nessuna,0.43971178810374917,24.441406566208716,6.442114015586224,Sano
Lattuga,Foglie_Secche,0.12965858922462017,27.87097139274397,8.153045838997112,Stress_Idrico
Rosa,Muffa_Bianca,0.7270200469904432,21.745430911951875,5.365896066793828,Oidio
Peperone,Marciume_Apicale,0.548163077471348,34.71806924038671,10.658643329353977,Carenza_Calcio
Lattuga,Foglie_Gialle,0.4183755788633937,27.454048591505533,9.684267047989245,Afidi
Zucchina,Muffa_Bianca,0.7685006882821886,21.088904136936765,10.981211549240596,Oidio
Fragola,Macchie_Fogliari,0.8216951709713658,32.48893724159372,8.800828758579563,Ruggine
Menta,Ragnatele,0.32609233754918443,19.569603064337496,9.477920496584094,Ragnetto_Rosso
Basilico,Macchie_Fogliari,0.7875358189552392,16.780186752824182,8.78817431591355,Peronospora
Peperone,Foglie_Secche,0.08321139242624394,30.87157839934657,7.881565753623887,Stress_Idrico
Lattuga,Ragnatele,0.27673713341013767,32.352361698489375,5.476960114031639,Ragnetto_Rosso
Lattuga,Muffa_Bianca,0.6890934877679467,20.952008985103863,11.12953352256186,Botrite
Pomodoro,Macchie_Fogliari,0.7256346765721786,27.824194650018534,10.568576423052098,Peronospora
Menta,Macchie_Fogliari,0.8100418796906967,21.583290561914836,4.713861981120772,Ruggine
Zucchina,Nessuna,0.4101642882361801,23.715461612644162,6.778370800780037,Sano
Zucchina,Macchie_Fogliari,0.5122420610520086,24.45496806069053,10.609709167270992,Virosi
Fragola,Muffa_Bianca,0.8112997694294313,29.97370635914669,10.543261197390796,Botrite
Zucchina,Nessuna,0.4529950704351902,24.184174326022713,7.490520686292051,Sano
Lattuga,Macchie_Fogliari,0.7757560725824932,32.294195683754296,7.394350583556224,Peronospora
Fragola,Macchie_Fogliari,0.7015746016824941,24.234362798875285,9.413863817404838,Ruggine
Rosa,Muffa_Bianca,0.6329804893006281,16.14027559807507,5.332315461749199,Oidio
Basilico,Foglie_Secche,0.0010655158586818868,20.904529905171465,5.734382407173392,Stress_Idrico
Rosa,Macchie_Fogliari,0.6947126914229265,21.714212508333084,6.086055731503403,Ruggine
Pomodoro,Marciume_Apicale,0.5848265777270306,18.855198249695963,7.595193955549692,Carenza_Calcio
Basilico,Foglie_Gialle,0.6652464832498634,24.38656194899857,7.760265935520121,Afidi
Basilico,Foglie_Secche,0.23248922360550653,33.27792719009041,5.0053104014154215,Stress_Idrico
Basilico,Nessuna,0.46395851095577223,21.701173477531814,9.513089971295443,Sano
Menta,Macchie_Fogliari,0.7467262246319862,33.50579896259745,6.533296515820374,Ruggine
Pomodoro,Macchie_Fogliari,0.6354065118881501,16.677109846584685,4.922130920386269,Virosi
Peperone,Foglie_Arricciate,0.40524481127952255,17.925702915012007,5.204528965960468,Afidi
Basilico,Macchie_Fogliari,0.8077655131826862,31.234651953951516,11.286247717983041,Peronospora
Lattuga,Muffa_Bianca,0.8504369100569147,18.821325682433667,7.654678418650543,Botrite
Basilico,Foglie_Secche,0.2807040915835463,21.32396089820375,7.60927874210761,Stress_Idrico
Lattuga,Macchie_Fogliari,0.45459389329023486,30.743970833372792,9.98680159620782,Virosi
Fragola,Muffa_Bianca,0.7575328164145585,25.012546990611334,9.932955426663991,Botrite
Basilico,Foglie_Arricciate,0.3455054205035517,23.929426824408264,11.2508191483281,Afidi
Zucchina,Muffa_Bianca,0.8642845920143446,17.94509270065371,11.223852677342704,Oidio
Menta,Macchie_Fogliari,0.675146593523242,21.55319392514381,8.229696331837214,Ruggine
Basilico,Foglie_Arricciate,0.5442858886937594,24.027386004156483,10.817129221204915,Afidi
Rosa,Macchie_Fogliari,0.8280646597787449,23.198251203237284,8.237490828123542,Ruggine
Fragola,Nessuna,0.4154508061813603,24.90479062932522,7.041869401375342,Sano
